Tool / action,What it does,Type,Switch,Cobuild path,What remains in ADTK,Functional verdict,Existing seconds,Cobuild seconds,Latency verdict,Speed enhancement,Pilot scope,Pilot Existing median seconds,Pilot bridge median seconds,Pilot data median seconds,Pilot explanation median seconds,Pilot successes / trials,Pilot full output matches,Pilot performance verdict,Second Look,Scope / remaining work,Candidate attempt,Evidence transport,Measured credits,Tested at UTC
code-env-consolidate,Move usages from one environment to another,read/write,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,0.752,19.541,26.0× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,One unused Python recipe moved between owned environments; no code executed,1,deployed HTTP bridge,Not returned by API,2026-09-14T22:07:26.283563+00:00
settings-set,Change an allowed DSS setting,read/write,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,0.079,18.175,230.1× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Memory limit on unused disposable execution config,1,deployed HTTP bridge,Not returned by API,2026-09-14T21:50:45.009627+00:00
connection-test,Test a DSS connection,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,2.298,27.438,11.9× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Read-only DSS connectivity test of akaos kaosdb connection,1,deployed HTTP bridge,Not returned by API,2026-09-14T21:33:06.016910+00:00
connection-index,Refresh connection catalog metadata,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,0.169,16.268,96.3× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,"Read-only metadata crawl of kaosdb; completion checked, catalog contents not compared",1,deployed HTTP bridge,Not returned by API,2026-09-14T22:07:42.721814+00:00
connection-update,Change a non-secret connection setting,read/write,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,2.299,26.298,11.4× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Description of disposable connection,1,deployed HTTP bridge,Not returned by API,2026-09-14T21:28:42.492538+00:00
connection-delete,Back up and delete a connection,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,4.507,23.273,5.2× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Unused disposable connection; definition backup retained by ADTK,1,deployed HTTP bridge,Not returned by API,2026-09-14T21:29:13.142912+00:00
cluster-detach,Remove a DSS cluster attachment,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,4.583,20.501,4.5× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Empty manual cluster attachment; verify absence and readable backup; no cloud resources,1,deployed HTTP bridge,Not returned by API,2026-09-14T22:18:09.109611+00:00
cluster-stop,Stop a managed cluster through its plugin,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,558.887,561.405,"1.00× existing time; cloud variability, overhead not isolated",Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,"Stop both provisioned clusters; independently verify EKS, node, nodegroup and control-plane stack absence; timings exclude plan",1,deployed HTTP bridge,Not returned by API,2026-09-15T00:33:34.777827+00:00
cluster-start,Start a managed cluster through its plugin,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,807.776,793.451,"0.98× existing time; cloud variability, overhead not isolated",Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Actual provisioning on both paths; one Ready t3.small; test HTTP timeout 1800s; timings exclude plan,1,deployed HTTP bridge,Not returned by API,2026-09-15T00:21:48.434637+00:00
cluster-pods-cleanup,Delete completed Kubernetes pods and jobs,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,3.125,18.2,5.8× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Delete one completed owned pod in the current namespace on a disposable cluster,1,deployed HTTP bridge,Not returned by API,2026-09-15T00:22:19.555511+00:00
plugin-uninstall,Back up and uninstall an unused plugin,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,2.065,20.536,9.9× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Unused test plugin: verify absence and readable ZIP backup,1,deployed HTTP bridge,Not returned by API,2026-09-14T23:11:31.638480+00:00
plugin-update,Back up and update a plugin from the store,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,75.621,89.184,1.2× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Owned empty kml-format 0.0.0 placeholder replaced by store 0.1.0; previous source backed up,2,deployed HTTP bridge,Not returned by API,2026-09-14T23:21:12.493773+00:00
plugin-code-env-rebuild,Rebuild a plugin code environment,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,3.414,21.271,6.2× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,"Unused test plugin; no packages, core libraries or Jupyter requested",1,deployed HTTP bridge,Not returned by API,2026-09-14T22:14:05.403025+00:00
code-env-update,Update packages in a code environment,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,0.879,21.991,25.0× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Unused Python 3.11 environment with no requested packages,1,deployed HTTP bridge,Not returned by API,2026-09-14T22:00:54.474612+00:00
project-clear-webapp-runs,Remove eligible dead webapp run directories,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,1.86,20.96,11.3× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Owned old run removed; newest marker run must survive,1,deployed HTTP bridge,Not returned by API,2026-09-14T21:59:19.717526+00:00
project-export,Export a project archive,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,0.534,16.415,30.7× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Disposable project: read exported ZIP and confirm project survives,1,deployed HTTP bridge,Not returned by API,2026-09-14T22:10:37.534834+00:00
project-set-cluster,Change a project’s selected Kubernetes cluster,read/write,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,0.139,19.265,138.6× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Select test cluster on disposable project; no workload launched,1,deployed HTTP bridge,Not returned by API,2026-09-14T21:52:02.089519+00:00
project-change-owner,Change a project owner,read/write,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,3.274,26.259,8.0× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Disposable project and test user,1,deployed HTTP bridge,Not returned by API,2026-09-14T21:25:57.173328+00:00
project-variables-set,Change a project variable,read/write,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,0.405,18.331,45.3× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,"DSS runtime: value, audit row and settings history checked",1,deployed HTTP bridge,Not returned by API,2026-09-14T22:13:57.272862+00:00
job-kill,Abort a DSS job,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,1.153,17.243,15.0× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Abort a disposable Python recipe that only sleeps,1,deployed HTTP bridge,Not returned by API,2026-09-14T22:00:28.557550+00:00
scenario-disable,Disable a scenario’s automatic triggers,read/write,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,1.565,23.907,15.3× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Disable trigger-free disposable scenario,1,deployed HTTP bridge,Not returned by API,2026-09-14T21:19:40.376053+00:00
scenario-enable,Enable a scenario’s automatic triggers,read/write,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,2.329,25.618,11.0× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Enable trigger-free disposable scenario,1,deployed HTTP bridge,Not returned by API,2026-09-14T21:19:13.736526+00:00
scenario-kill,Abort a running scenario,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,0.083,16.206,195.3× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Abort a disposable 180-second sleep; no business processing,1,deployed HTTP bridge,Not returned by API,2026-09-14T22:10:32.174685+00:00
scenario-run,Start a scenario manually,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,1.585,23.763,15.0× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Empty trigger-free disposable scenario,1,deployed HTTP bridge,Not returned by API,2026-09-14T21:31:09.776710+00:00
continuous-activity-stop,Stop a continuous recipe activity,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,2.796,21.672,7.8× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Disposable continuous Python sleep loop; no streaming data or external source,1,deployed HTTP bridge,Not returned by API,2026-09-14T23:07:26.548737+00:00
webapp-backend-stop,Stop a webapp backend,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,1.562,23.751,15.2× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Disposable Flask backend,1,deployed HTTP bridge,Not returned by API,2026-09-14T21:30:40.906198+00:00
webapp-backend-restart,Start or restart a webapp backend,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,1.558,23.81,15.3× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Start disposable Flask backend from stopped state,1,deployed HTTP bridge,Not returned by API,2026-09-14T21:33:35.218308+00:00
notebook-kernels-shutdown,Shut down active notebook kernels,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,1.195,15.646,13.1× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,One active empty notebook in a disposable project; file retained after shutdown,1,deployed HTTP bridge,Not returned by API,2026-09-14T23:13:58.366788+00:00
notebook-clear-outputs,Clear saved notebook outputs,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,1.557,25.657,16.5× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Saved synthetic notebook output; no kernel required,1,deployed HTTP bridge,Not returned by API,2026-09-14T21:21:08.601840+00:00
variables-set,Change an instance variable,read/write,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,1.556,23.879,15.3× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,One uniquely named test variable; removed in cleanup,1,deployed HTTP bridge,Not returned by API,2026-09-14T21:20:40.226336+00:00
user-disable,Disable a user account,read/write,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,2.341,26.688,11.4× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,New test account with no groups,1,deployed HTTP bridge,Not returned by API,2026-09-14T21:21:38.898838+00:00
user-enable,Enable a user account,read/write,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,2.322,28.157,12.1× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,New test account with no groups,1,deployed HTTP bridge,Not returned by API,2026-09-14T21:22:10.550318+00:00
user-update,"Change a user’s profile, name or email",read/write,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,2.339,26.502,11.3× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Display name only on new test account,1,deployed HTTP bridge,Not returned by API,2026-09-14T21:22:40.559606+00:00
api-key-delete,Delete a selected API key,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,0.148,15.27,103.2× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,New key belonging only to the disposable test user,1,deployed HTTP bridge,Not returned by API,2026-09-14T22:10:09.672346+00:00
tmp-cleanup,Delete eligible old DSS temporary files,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,2.875,29.493,10.3× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,One tiny owned artifact aged to 1980; pre-scan refuses extra candidates,1,deployed HTTP bridge,Not returned by API,2026-09-14T21:57:48.261060+00:00
exports-cleanup,Delete eligible old export files,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,1.861,22.968,12.3× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,One tiny owned artifact aged to 1980; pre-scan refuses extra candidates,1,deployed HTTP bridge,Not returned by API,2026-09-14T21:58:13.090824+00:00
job-logs-cleanup,Delete eligible old job log directories,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,1.858,18.958,10.2× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,One tiny owned artifact aged to 1980; pre-scan refuses extra candidates,1,deployed HTTP bridge,Not returned by API,2026-09-14T21:58:33.908289+00:00
dataset-clear,"Clear a dataset’s data, keeping its definition",execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,1.555,23.724,15.3× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Uploaded dataset containing only synthetic CSV,1,deployed HTTP bridge,Not returned by API,2026-09-14T21:29:40.229438+00:00
dataset-delete,Back up and delete a dataset definition,execute,Existing / Headless-Cobuild,Cobuild requests operation → ADTK executes → Cobuild explains result,"Executor, permissions, host routing, evidence, plans, confirmation and audit",Matched scope,3.244,25.448,7.8× slower in sample,Original bridge retained,,,,,,,,Not part of three-read pilot,Omitted at user request; existing permissions and confirmations retained,Unreferenced synthetic CSV dataset,1,deployed HTTP bridge,Not returned by API,2026-09-14T21:30:10.280005+00:00
