surface,id,capability,scope,headless_mapping,coverage,decision,remains_in_adtk,upstream_value,credit_path,priority,effort,evidence,constraint,next_validation,source
ADTK tool,plan_admin_action,"Canonical action planning, blast radius and approval token",Agent capability,None exposed,No equivalent,Keep in ADTK,"All 53 planners, target canonicalization and token binding",Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P0,Medium,Source inspected; replacement not live-tested,Cobuild cannot currently call the registered ADTK tools through the exposed interface,Prove supported Cobuild tool invocation or a deterministic proposal handoff,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/generalist.py
ADTK tool,execute_admin_action,Execute an approved exact action and audit it,Agent capability,None exposed,No equivalent,Keep in ADTK,"All executors, runtime gates, token verification and audit",Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P0,Medium,Source inspected; replacement not live-tested,Cobuild cannot currently call the registered ADTK tools through the exposed interface,Prove supported Cobuild tool invocation or a deterministic proposal handoff,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/generalist.py
ADTK tool,triage_sweep,Deterministic fleet triage and ranking,Agent capability,None exposed,No equivalent,Keep in ADTK,"Fleet scan orchestration, scoring and thresholds",Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P0,Medium,Source inspected; replacement not live-tested,Cobuild cannot currently call the registered ADTK tools through the exposed interface,Prove supported Cobuild tool invocation or a deterministic proposal handoff,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/generalist.py
ADTK tool,propose_action_items,Structured evidence-linked remediation checklist,Agent capability,None exposed,No equivalent,Keep in ADTK,"Action schema validation, proposals and UI checklist",Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P0,Medium,Source inspected; replacement not live-tested,Cobuild cannot currently call the registered ADTK tools through the exposed interface,Prove supported Cobuild tool invocation or a deterministic proposal handoff,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/generalist.py
ADTK config domain,projects,"Project inventory: projectKey, name, owner. Resolves a project label to its KEY (name_filter matches key or label substring) — the key every per-project domain and action needs.",Agent capability,count_projects; list_projects; get_project_metadata,Partial,Adapt upstream reads,Ownership normalization and fleet joins,Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P1,Medium,Source inspected; replacement not live-tested,"Inventory overlap does not include all derived fields, scans or permission behavior",Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/domain_registry.py
ADTK config domain,connections,"Connection inventory (counts by type, per-connection type/params); detail='health' adds a live probe naming the failing connections.",Agent capability,list_connections; get_connection_info; test_connection,Partial,Adapt upstream reads,Health aggregation and redacted result contract,Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P1,Medium,Source inspected; replacement not live-tested,"Inventory overlap does not include all derived fields, scans or permission behavior",Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/domain_registry.py
ADTK config domain,connections-usage,"Per-connection usage: which projects/datasets/LLM recipes use each connection, with project owner + ownerEmail on every row, plus the projects that have an active scenario trigger (the ones broken connections actually hurt). The grounding for owner outreach and connection repairs. name_filter = one connection for full detail; detail='fs' adds local-filesystem object rows.",Agent capability,get_flow_graph; list_datasets provide some inputs,Inputs only,Keep in ADTK,"Cross-project connection usages, owners, active triggers and filesystem scan",Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,"Inventory overlap does not include all derived fields, scans or permission behavior",Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/domain_registry.py
ADTK config domain,code-envs,"Code environments: totals, deprecated-Python and unused envs, largest by size (whitelist-aware). name_filter also takes an exact PROJECT KEY and returns exactly the envs that project uses — the drill step for per-project consolidation.",Agent capability,list_code_envs,Partial,Adapt upstream reads,"Size scans, deprecation rules, duplicate and project-usage analysis",Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P1,Medium,Source inspected; replacement not live-tested,"Inventory overlap does not include all derived fields, scans or permission behavior",Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/domain_registry.py
ADTK config domain,plugins,"Installed plugins (id, version, dev flag); detail='usage' adds projects-using counts and the unused-plugin list.",Agent capability,list_plugins; list_plugin_usages,Partial,Adapt upstream reads,"Fleet version comparison, enrichment and candidate policy",Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P1,Medium,Source inspected; replacement not live-tested,"Inventory overlap does not include all derived fields, scans or permission behavior",Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/domain_registry.py
ADTK config domain,llms,"LLM connections and the models they expose, grouped by connection.",Agent capability,list_llms; get_llm_info,Partial,Adapt upstream reads,Connection grouping and permission-aware reporting; invocation rights need separate check,Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P1,Medium,Source inspected; replacement not live-tested,"Inventory overlap does not include all derived fields, scans or permission behavior",Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/domain_registry.py
ADTK config domain,clusters,"K8s cluster attachments (state, architecture); detail='health' adds a reachability sweep naming failing/stale attachments.",Agent capability,list_container_exec_configs is adjacent,No equivalent,Keep in ADTK,Cluster attachment and reachability inventory,Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,"Inventory overlap does not include all derived fields, scans or permission behavior",Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/domain_registry.py
ADTK config domain,users,"User accounts WITH email, profile, groups and enabled state (the rich listing — resolves owner logins to email addresses), plus the no-email and disabled rollups.",Agent capability,list_users; list_groups,Partial,Adapt upstream reads,"Email/profile visibility handling, ownership and engagement rollups",Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P1,Medium,Source inspected; replacement not live-tested,"Inventory overlap does not include all derived fields, scans or permission behavior",Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/domain_registry.py
ADTK config domain,api-keys,Personal and global API keys (ids and labels only — secrets never shown).,Agent capability,None exposed,No equivalent,Keep in ADTK,Secret-free personal/global key inventory,Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,"Inventory overlap does not include all derived fields, scans or permission behavior",Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/domain_registry.py
ADTK config domain,scenarios,"Scenarios of ONE project (name_filter = projectKey): id, type, active/running state, next run.",Agent capability,list_scenarios; get_scenario_settings; get_scenario_run_history,Partial,Adapt upstream reads,Project selection and normalized active/running/next-run outputs,Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P1,Medium,Source inspected; replacement not live-tested,"Inventory overlap does not include all derived fields, scans or permission behavior",Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/domain_registry.py
ADTK config domain,webapps,"Webapps of ONE project (name_filter = projectKey), with backend running state.",Agent capability,list_webapps; get_webapp_settings; get_webapp_state,Partial,Adapt upstream reads,Backend-state normalization and fleet routing,Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P1,Medium,Source inspected; replacement not live-tested,"Inventory overlap does not include all derived fields, scans or permission behavior",Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/domain_registry.py
ADTK config domain,notebooks,"Jupyter notebooks of ONE project (name_filter = projectKey), with kernel and last-modified info.",Agent capability,Cobuild notebook discovery reported; no direct MCP listing,Cobuild candidate,Keep in ADTK,"Kernel state, last-modified inventory and direct observability",Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,"Inventory overlap does not include all derived fields, scans or permission behavior",Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/domain_registry.py
ADTK config domain,jobs,"Recent jobs of ONE project (name_filter = projectKey): state, type, initiator.",Agent capability,list_jobs; get_job_status; get_job_log,Partial,Adapt upstream reads,"Project scoping, retained scans and normalized state",Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P1,Medium,Source inspected; replacement not live-tested,"Inventory overlap does not include all derived fields, scans or permission behavior",Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/domain_registry.py
ADTK config domain,datasets,"Datasets of ONE project (name_filter = projectKey); detail='usage' adds flow lineage (producing/consuming recipes, webapp/scenario name-refs) plus the 'unreferenced' and 'deleteCandidates' rollups — the grounding for dataset-delete cleanup. Rows carry exposed=true when shared.",Agent capability,list_datasets; get_dataset_info; get_flow_graph; list_shared_objects,Partial,Adapt upstream reads,Deletion-candidate rules and references from scenarios/webapps,Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P1,Medium,Source inspected; replacement not live-tested,"Inventory overlap does not include all derived fields, scans or permission behavior",Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/domain_registry.py
ADTK config domain,continuous-activities,"Continuous activities of ONE project (name_filter = projectKey): recipe id, desired state, loop liveness.",Agent capability,None exposed,No equivalent,Keep in ADTK,Loop state and liveness inspection,Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,"Inventory overlap does not include all derived fields, scans or permission behavior",Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/domain_registry.py
ADTK config domain,app-instances,"App-as-recipe sprawl: app templates with instance counts, instance projects with exact creator-recipe attribution (macro-backed; the public API strips it), App_ recipes with their keepInstance flag, and the orphanKeys verdict (instances whose creating recipe was deleted) — the grounding for orphan-instance cleanup. orphanDeterminable=false means unknown, not zero.",Agent capability,None exposed,No equivalent,Keep in ADTK,Macro-derived creator-recipe attribution and orphan verdicts,Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,"Inventory overlap does not include all derived fields, scans or permission behavior",Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/domain_registry.py
ADTK config domain,adoption,"Adoption/engagement analytics: totals, licensing seats vs per-profile usage, monthly build trend, top builders, repeat-builder split. detail='inventory' = full-history object inventory (macro); detail='events' = recent audit-event pulse (macro).",Agent capability,get_licensing_status; list_users; list_projects provide inputs,Inputs only,Keep in ADTK,"Engagement events, seat usage, monthly trends and repeat-builder metrics",Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,"Inventory overlap does not include all derived fields, scans or permission behavior",Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/domain_registry.py
ADTK config domain,settings,"DSS instance general settings, redacted (secret values masked, auth/SSO/security/licensing families stripped — the same policy as settings-set): cgroups, limits, container exec configs, spark, internal DB, disabled features. name_filter = top-level key substring for the full redacted subtree.",Agent capability,list_container_exec_configs; list_spark_configs,Partial,Adapt upstream reads,Other settings families and Toolkit redaction policy,Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P1,Medium,Source inspected; replacement not live-tested,"Inventory overlap does not include all derived fields, scans or permission behavior",Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/domain_registry.py
ADTK config domain,cost-detail,"Full CRU cost detail the summary compute_cost tool drops: per-connection SQL cost, idle resources, daily timeline, LLM models, K8s reservations; name_filter = one projectKey for its nested byUser/byConnection/byModel breakdowns.",Agent capability,None exposed,No equivalent,Keep in ADTK,"CRU attribution, idle resources, time series and nested breakdowns",Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,"Inventory overlap does not include all derived fields, scans or permission behavior",Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/domain_registry.py
ADTK curated read,errors,"Parsed backend.log error/warning groups with stats (the Errors page). For raw lines or a grep, prefer the log_tail sensor.",Agent capability,None exposed,No equivalent,Keep in ADTK,Grouped host logs,Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,Endpoint /api/logs/errors has no full upstream output contract,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/read_registry.py
ADTK curated read,users-churn,"Churn & Seats data: per-user activity/login/created proxy chain, dormant + disabled seat groups, yearly account flow (the Users → Churn & Seats page).",Agent capability,list_users; get_licensing_status,Inputs only,Keep in ADTK,"Activity history, dormant seats and account-flow analysis",Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,Endpoint /api/users/churn has no full upstream output contract,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/read_registry.py
ADTK curated read,compute-placement,"Full compute inventory: every project default, Python/R recipe, DSS-engine visual recipe, webapp backend, ML task, notebook and Spark recipe resolved to local-host vs container config + cluster, with owners (the Compute Placement page). rows[].placement = local | container | spark; summary.localCount / migratableCount. projectKeys=A,B narrows the scan.",Agent capability,get_project_settings; get_recipe_settings; get_webapp_settings; get_ml_analysis_settings,Inputs only,Keep in ADTK,Fleet scan resolving effective placement and migration candidates,Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,Endpoint /api/compute-placement has no full upstream output contract,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/read_registry.py
ADTK curated read,cost-cru-detail,"Full Cost/CRU detail: totals, per-project/user/connection/model breakdowns, daily series, idle resources (the Projects → Cost page). Span = rolling audit retention.",Agent capability,None exposed,No equivalent,Keep in ADTK,CRU measurements and attribution,Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,Endpoint /api/cru has no full upstream output contract,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/read_registry.py
ADTK curated read,llm-audit,"LLM Mesh model audit: per-model/connection usage, tokens and cost estimates with pricing-catalog matches (the Model Audit page).",Agent capability,list_llms; get_llm_info,Inputs only,Keep in ADTK,Token/cost audit and model pricing matches,Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,Endpoint /api/llm-audit has no full upstream output contract,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/read_registry.py
ADTK curated read,k8s-insights,K8s cluster inventory with states and stale attachments (the K8s Insights page). Reachability probes + per-cluster audits live in the k8s_health sensor.,Agent capability,None exposed,No equivalent,Keep in ADTK,Cluster inventory and stale attachments,Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,Endpoint /api/k8s-insights/clusters has no full upstream output contract,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/read_registry.py
ADTK curated read,db-health-connections,RuntimeDB candidates: PostgreSQL connections on the host + the configured DB Health connection (pass it to the db-health-* views).,Agent capability,list_connections; get_connection_info,Inputs only,Keep in ADTK,Configured DB-health target selection,Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,Endpoint /api/tools/db-health/connections has no full upstream output contract,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/read_registry.py
ADTK curated read,db-health-overview,"RuntimeDB overview: size, version, table count, dead/live tuples (the DB Health page).",Agent capability,None exposed,No equivalent,Keep in ADTK,Runtime database measurements,Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,Endpoint /api/tools/db-health/overview has no full upstream output contract,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/read_registry.py
ADTK curated read,db-health-tables,"RuntimeDB per-table stats: sizes, dead tuples, vacuum/analyze ages.",Agent capability,None exposed,No equivalent,Keep in ADTK,"Table sizes, dead tuples and maintenance timestamps",Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,Endpoint /api/tools/db-health/tables has no full upstream output contract,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/read_registry.py
ADTK curated read,db-health-per-project,RuntimeDB usage grouped by project.,Agent capability,None exposed,No equivalent,Keep in ADTK,Database usage attribution,Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,Endpoint /api/tools/db-health/per-project has no full upstream output contract,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/read_registry.py
ADTK curated read,audit-timeline,Agent-action audit timeline: the most recent agent-executed actions with status and result snippets (the Agents page timeline).,Agent capability,None exposed,No equivalent,Keep in ADTK,"ADTK action audit, target and outcome history",Toolkit specific,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,Endpoint /api/agents/actions has no full upstream output contract,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/read_registry.py
ADTK curated read,settings-snapshot,"Toolkit backend runtime settings: current values + defaults (cache TTLs, worker counts, thresholds).",Agent capability,None exposed,No equivalent,Keep in ADTK,Toolkit runtime settings and defaults,Toolkit specific,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,Endpoint /api/settings has no full upstream output contract,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/read_registry.py
ADTK curated read,version,Toolkit plugin version + backend mode — cite it when asked what version is running.,Agent capability,list_plugins can identify installed plugin versions,Inputs only,Keep in ADTK,Toolkit backend mode and exact running version,Toolkit specific,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,Endpoint /api/mode has no full upstream output contract,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/read_registry.py
ADTK curated read,resources-snapshot,Instantaneous CPU/memory counter snapshot of the host (one sample of the Resources live graph; call twice to derive CPU%).,Agent capability,None exposed,No equivalent,Keep in ADTK,CPU/memory sampling,Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,Endpoint /api/host/resource-sample has no full upstream output contract,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/read_registry.py
ADTK curated read,resources-processes,Per-process CPU + memory snapshot of the host (the Resources page process table). fresh=1 bypasses the short cache.,Agent capability,None exposed,No equivalent,Keep in ADTK,Per-process resource sampling,Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,Endpoint /api/host/process-metrics has no full upstream output contract,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/read_registry.py
ADTK curated read,connections-audit,"Connection configuration audit: fast-write, details readability, HDFS interface, filesystem_root findings per connection (the Connections → Insights audit column).",Agent capability,list_connections; get_connection_info,Inputs only,Keep in ADTK,Connection configuration findings and remediation rules,Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,Endpoint /api/connections/audit has no full upstream output contract,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/read_registry.py
ADTK curated read,container-execs,"Containerized execution configs with per-project usage, requests/limits and registry links (the Container Execs page). projectKeys=A,B narrows the scan.",Agent capability,list_container_exec_configs; get_project_settings,Partial,Keep in ADTK,"Usage scan, normalized requests/limits and registry links",Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,Endpoint /api/container-execs has no full upstream output contract,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/read_registry.py
ADTK curated read,cs-templates,Code Studio template inventory (the CS Templates page). Read-only — template migration stays a human-driven page action.,Agent capability,None exposed,No equivalent,Keep in ADTK,Code Studio template inventory,Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,Endpoint /api/cs-template/templates has no full upstream output contract,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/read_registry.py
ADTK curated read,cs-template-projects,Per-project Code Studios with the template each one uses (the CS Templates page). Read-only; scans every project.,Agent capability,None exposed,No equivalent,Keep in ADTK,Per-project Code Studio and template usage scan,Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,Endpoint /api/cs-template/projects has no full upstream output contract,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/read_registry.py
ADTK curated read,dir-tree,"DIP_HOME directory tree with per-directory sizes (the Filesystem page treemap). scope=dss|project (+projectKey), path drills into a subtree, maxDepth caps depth.",Agent capability,None exposed,No equivalent,Keep in ADTK,Managed-host directory sizes and bounded traversal,Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,Endpoint /api/dir-tree has no full upstream output contract,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/read_registry.py
ADTK curated read,docker-usage,Docker disk usage on the host (images/containers/build-cache — the grounding for docker-prune).,Agent capability,None exposed,No equivalent,Keep in ADTK,"Host images, containers and build-cache accounting",Candidate via ADTK extension,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,Endpoint /api/tools/docker/usage has no full upstream output contract,Validate output and permission parity before any replacement,/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/read_registry.py
ADTK action,project-delete,project-delete {projectKey},Agent capability,None exposed for deleting a project,No equivalent,Keep ADTK executor,"Canonical plan, exact-target approval, policies, applicable backups, audit and result verification; executor remains until parity proven",Useful admin operation or safety pattern,No inference; does not itself consume Cobuild usage,P2,Medium,Source inspected; replacement not live-tested,Project-folder deletion and in-project object deletion are different operations,"Compare target semantics, failure/rollback behavior and approval enforcement in a disposable target",/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/actions/__init__.py
ADTK action,code-env-delete,"code-env-delete {name, lang?}",Agent capability,delete_code_env,Primitive overlap,Wrap upstream primitive,"Canonical plan, exact-target approval, policies, applicable backups, audit and result verification; executor remains until parity proven",Useful admin operation or safety pattern,No inference; does not itself consume Cobuild usage,P1,Medium,Source inspected; replacement not live-tested,Usage and backup parity required,"Compare target semantics, failure/rollback behavior and approval enforcement in a disposable target",/Users/claude/Documents/dss-admin-toolkit/python-lib/atk_agent_common/actions/__init__.py
