capability,status,existing_seconds,cobuild_seconds,latency_ratio,existing_model_calls,cobuild_model_calls,scope,reason,model
db-analyze,same,11.584,12.376,1.068,3,3,One owned 10-row table; verify maintenance and preserve row count; temporary DB Health credential restored,,anthropic:Claude:claude-opus-4-8
db-reindex,same,12.861,16.637,1.294,3,3,One owned 10-row table; verify maintenance and preserve row count; temporary DB Health credential restored,,anthropic:Claude:claude-opus-4-8
notification-send,same,9.957,14.991,1.506,3,3,Temporary SMTP channel → localhost capture sink; no message to a person,,anthropic:Claude:claude-opus-4-8
project-set-cluster,same,15.186,12.859,0.847,3,3,Select an empty manual cluster definition on an owned project; no workload or cloud resources,,anthropic:Claude:claude-opus-4-8
cluster-start,blocked,,,,,,,Needs a new owned cluster lifecycle fixture; previous cloud resources were deleted.,
cluster-stop,blocked,,,,,,,Needs a new owned cluster lifecycle fixture; previous cloud resources were deleted.,
cluster-pods-cleanup,blocked,,,,,,,Needs a new owned cluster lifecycle fixture; previous cloud resources were deleted.,
k8s-apply-fix,blocked,,,,,,,Needs a new owned cluster lifecycle fixture; previous cloud resources were deleted.,
image-delete,blocked,,,,,,,Needs new disposable image targets; previous two deletion approvals were consumed.,
python-run,blocked,,,,,,,Needs fresh per-run approval of concrete Python code; previous two approvals were consumed.,
plugin-deploy,skipped,,,,,,,plugin-deploy remains excluded at the user's request.,
